title,link,price,rating,MRP,Reviews_count,discount_percentage,Delivery,delivery_date,image
"Lenovo ThinkBook 16 Intel 13th Gen Core i3 16"" (40.64cm) WUXGA 300 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Win 11 Home/Office 2021/Arctic Grey/1.7 Kg), 21KHA0J5IN  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTQ4MjMwNzQ5OTczNzkzOjE3MjY4NDQ1OTk6c3BfYXRmOjMwMDE2NjY2NjE5ODAzMjo6MDo6&url=%2FLenovo-ThinkBook-16-Antiglare-21KHA0J5IN%2Fdp%2FB0CZ7CBQXP%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726844599%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"38,990",3.8 out of 5 stars,"73,800",67,47% off,FREE delivery,"Mon, 30 Sept",https://m.media-amazon.com/images/I/41vLTR4AM9L._AC_UY218_.jpg
"MSI Thin 15, Intel Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B13UCX-1808IN  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTQ4MjMwNzQ5OTczNzkzOjE3MjY4NDQ1OTk6c3BfYXRmOjMwMDMyNTEzMTM3NzEzMjo6MDo6&url=%2FMSI-i5-13420H-Windows-GeForce-B13UCX-1808IN%2Fdp%2FB0CV9JXPB5%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726844599%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"53,990",5.0 out of 5 stars,"73,990",1,27% off,FREE delivery,"Sun, 22 Sept",https://m.media-amazon.com/images/I/71VG3azYMjL._AC_UY218_.jpg
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_3?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0&dib_tag=se&keywords=laptop&qid=1726844599&sprefix=laptop%2Caps%2C349&sr=8-3,"16,095",3.4 out of 5 stars,"1,00,000",704,84% off,FREE delivery,"Wed, 25 Sept",https://m.media-amazon.com/images/I/61vGumezioL._AC_UY218_.jpg
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_4?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0&dib_tag=se&keywords=laptop&qid=1726844599&sprefix=laptop%2Caps%2C349&sr=8-4,"21,769",3.5 out of 5 stars,"33,999",43,36% off,FREE delivery,"Sun, 22 Sept",https://m.media-amazon.com/images/I/61qlqvTsocL._AC_UY218_.jpg
"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256 SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black,  ",https://amazon.in//Lenovo-V15-G2-Anti-Glare-Bluetooth/dp/B0CVTJSWV1/ref=sr_1_5?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0&dib_tag=se&keywords=laptop&qid=1726844599&sprefix=laptop%2Caps%2C349&sr=8-5,"22,990",4.5 out of 5 stars,"89,990",2,74% off,FREE delivery,"Mon, 23 Sept",https://m.media-amazon.com/images/I/71MuvuEjyAL._AC_UY218_.jpg
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU  ",https://amazon.in//HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_6?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0&dib_tag=se&keywords=laptop&qid=1726844599&sprefix=laptop%2Caps%2C349&sr=8-6,"32,490",4.1 out of 5 stars,"48,286","1,365",33% off,FREE delivery,"Sun, 22 Sept",https://m.media-amazon.com/images/I/71Zy+qaX82L._AC_UY218_.jpg
"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black  ",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR495DW5/ref=sr_1_7?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0&dib_tag=se&keywords=laptop&qid=1726844599&sprefix=laptop%2Caps%2C349&sr=8-7,"13,029",3.7 out of 5 stars,"1,00,000",510,87% off,FREE delivery,"Wed, 25 Sept",https://m.media-amazon.com/images/I/617Ykb5YvLL._AC_UY218_.jpg
"ASUS Vivobook 15, Intel Celeron N4020, 15.6"" (39.62 cms) HD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 kg), X515MA-BR022WS  ",https://amazon.in//ASUS-SmartChoice-Integrated-Fingerprint-X515MA-BR024WS/dp/B0C1GM4C6V/ref=sr_1_8?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0&dib_tag=se&keywords=laptop&qid=1726844599&sprefix=laptop%2Caps%2C349&sr=8-8,"24,990",3.9 out of 5 stars,"38,990","1,678",36% off,FREE delivery,"Sun, 22 Sept",https://m.media-amazon.com/images/I/71ykbL+REgL._AC_UY218_.jpg
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam  ",https://amazon.in//Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B0D9RXH8X5/ref=sr_1_9?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0&dib_tag=se&keywords=laptop&qid=1726844599&sprefix=laptop%2Caps%2C349&sr=8-9,"16,990",3.9 out of 5 stars,"34,990","3,072",51% off,FREE delivery,"Sun, 22 Sept",https://m.media-amazon.com/images/I/61xlOv4ZmiL._AC_UY218_.jpg
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_10?crid=1895KSWNLJ6QB&dib=eyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0&dib_tag=se&keywords=laptop&qid=1726844599&sprefix=laptop%2Caps%2C349&sr=8-10,"29,990",4.0 out of 5 stars,"52,990",953,43% off,FREE delivery,"Sun, 22 Sept",https://m.media-amazon.com/images/I/71czGb00k5L._AC_UY218_.jpg
"Lenovo V15 12th Gen Intel Core i5-1235U 15.6"" FHD Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg), 82TTA07RIH  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTQ4MjMwNzQ5OTczNzkzOjE3MjY4NDQ1OTk6c3BfbXRmOjMwMDMzODUxNDY4ODEzMjo6MDo6&url=%2FLenovo-V15-i5-1235U-Windows-82TTA07RIH%2Fdp%2FB0DDY3SG2G%2Fref%3Dsr_1_11_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726844599%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"44,990",N/A,"92,014",N/A,51% off,FREE delivery,"Sun, 22 Sept",https://m.media-amazon.com/images/I/719+CaSnPxL._AC_UY218_.jpg
"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/MSO 21/FHD+IR Camera/1Yr ADP Free/3 Mon Game Pass/Grey/1.4Kg), 83D2001GIN  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTQ4MjMwNzQ5OTczNzkzOjE3MjY4NDQ1OTk6c3BfbXRmOjMwMDE2NTM3MDM0NjIzMjo6MDo6&url=%2FLenovo-IdeaPad-35-56cm-2-8K-OLED-83D2001GIN%2Fdp%2FB0CY2LDT1S%2Fref%3Dsr_1_12_sspa%3Fcrid%3D1895KSWNLJ6QB%26dib%3DeyJ2IjoiMSJ9.wVhxbhKKvcRGLwLgfXaU52PKyzh7tphS0OWmG-m-2cnVHmzzbvjV-Zp2f7XwywV4bXU84j9fcSgNH9y8M0NyWDSSuQw20qAPycblEMvou6crnVgYgaJLS9KkwTg4ZbGUq5UMNKAEwexQ_0YQAamCQmrj6VuRGEplhRIrU0LlEI0FnPu1ubbaWjfVX-O36wbDggFeVWHel6gbFTJHDLHsFmMf_kT0naiD68nq8hT8t6A.vDHBe_fsPttDS9JtnrbqZ1WIc-bM60nJpHBUwilrod0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726844599%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"1,09,990",4.5 out of 5 stars,"1,46,890",44,25% off,FREE delivery,"Sun, 22 Sept",https://m.media-amazon.com/images/I/618ac7UaMrL._AC_UY218_.jpg
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/HD Camera/1 Year ADP Free/Grey/1.6Kg), 82R400BRIN  ",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNDMyNTMwOTIyMDY5MDU3OjE3MjY4NDQ1OTk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTA3NDQwMDY5MTk4OjowOjo&url=%2FLenovo-IdeaPad-39-62cm-Windows-82R400BGIN%2Fdp%2FB09MM58Y7Q%2Fref%3Dsxin_23_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D1895KSWNLJ6QB%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.61nEkxiaGDHjMKdGdlvZvr-k49RfV6Dm1l4hased_JQecRGolHVGwEnLz9QIjsmznKm8-5n2usQGY4kevMejHA.LCOqQ-6QByx6lQ_ejYM1h4ne4_DgzVKQzD-grw2onvc%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB09MM58Y7Q%26pd_rd_r%3Db6658f79-7872-41ce-bd0f-6b00f3085c16%26pd_rd_w%3DpJ7T5%26pd_rd_wg%3DQa4KY%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DHWT76JW9XNGZ6KEAHRT2%26qid%3D1726844599%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C349%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"36,990",4.0 out of 5 stars,"55,090","2,225",33% off,N/A,N/A,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UL320_.jpg
